Fecha,Sin indexar,Indexadas,Impresiones
2026-05-20,,,2
2026-05-21,16,9,0
2026-05-22,17,8,0
2026-05-23,17,8,0
2026-05-24,17,8,2
2026-05-25,17,8,0
2026-05-26,17,8,1
2026-05-27,17,8,0
2026-05-28,17,8,1
2026-05-29,19,7,2
2026-05-30,19,7,0
2026-05-31,19,7,0
2026-06-01,19,7,4
2026-06-02,19,7,8
2026-06-03,19,7,1
2026-06-04,19,7,1
2026-06-05,20,7,0
2026-06-06,20,7,2
2026-06-07,20,7,2
2026-06-08,28,10,6
2026-06-09,28,10,4
2026-06-10,28,10,4
2026-06-11,28,10,2
2026-06-12,26,7,5
2026-06-13,26,7,1
2026-06-14,26,7,4
2026-06-15,26,7,17
2026-06-16,26,7,3
2026-06-17,26,7,2
2026-06-18,26,7,2
2026-06-19,26,7,1
2026-06-20,26,7,0
2026-06-21,26,7,3
2026-06-22,26,7,1
2026-06-23,26,7,2
2026-06-24,26,7,8
2026-06-25,26,7,3
2026-06-26,26,7,0
2026-06-27,26,7,0
2026-06-28,26,7,2
2026-06-29,26,7,4
2026-06-30,42,7,1
2026-07-01,42,7,5
2026-07-02,42,7,1
2026-07-03,42,7,0
2026-07-04,42,7,0
2026-07-05,42,7,8
2026-07-06,42,7,3
2026-07-07,42,7,5
2026-07-08,42,7,0
2026-07-09,42,7,2